run,n_obstacles,seed,status,nav_time_s,path_len_m,euclid_m,ratio,hits,min_clearance_m
n10_s1,10,1,SUCCEEDED,35.0,16.5,15.56,1.06,0,0.399
n10_s2,10,2,SUCCEEDED,50.3,23.33,22.44,1.04,0,0.576
n10_s3,10,3,SUCCEEDED,26.1,11.6,11.09,1.046,0,0.373
n10_s4,10,4,SUCCEEDED,35.4,17.58,17.56,1.002,0,0.507
n10_s5,10,5,SUCCEEDED,24.4,11.87,11.79,1.007,0,0.366
n10_s6,10,6,SUCCEEDED,28.3,12.01,11.51,1.043,0,0.54
n10_s7,10,7,SUCCEEDED,18.1,7.88,8.01,0.984,0,0.524
n10_s8,10,8,SUCCEEDED,35.3,12.97,13.12,0.989,0,1.62
n1_s1,1,1,SUCCEEDED,29.3,15.29,15.56,0.983,0,3.452
n1_s2,1,2,SUCCEEDED,41.4,22.16,22.44,0.987,0,2.084
n1_s3,1,3,SUCCEEDED,23.9,10.83,11.09,0.977,0,1.045
n1_s4,1,4,SUCCEEDED,34.6,17.34,17.56,0.988,0,0.799
n1_s5,1,5,SUCCEEDED,24.0,11.51,11.79,0.977,0,9.097
n1_s6,1,6,SUCCEEDED,28.0,11.26,11.51,0.978,0,3.384
n1_s7,1,7,SUCCEEDED,17.8,7.71,8.01,0.964,0,2.498
n1_s8,1,8,SUCCEEDED,35.3,12.98,13.12,0.99,0,6.599
n2_s1,2,1,SUCCEEDED,29.3,15.33,15.56,0.986,0,0.763
n2_s2,2,2,SUCCEEDED,41.4,22.16,22.44,0.987,0,1.272
n2_s3,2,3,SUCCEEDED,23.9,10.82,11.09,0.976,0,1.022
n2_s4,2,4,SUCCEEDED,34.7,17.34,17.56,0.988,0,0.795
n2_s5,2,5,SUCCEEDED,24.0,11.53,11.79,0.978,0,8.707
n2_s6,2,6,SUCCEEDED,28.0,11.28,11.51,0.98,0,1.567
n2_s7,2,7,SUCCEEDED,17.9,7.72,8.01,0.964,0,2.505
n2_s8,2,8,SUCCEEDED,35.3,12.99,13.12,0.991,0,6.553
n4_s1,4,1,SUCCEEDED,29.3,15.33,15.56,0.985,0,0.754
n4_s2,4,2,SUCCEEDED,41.5,22.17,22.44,0.988,0,1.265
n4_s3,4,3,SUCCEEDED,24.0,10.84,11.09,0.977,0,1.013
n4_s4,4,4,SUCCEEDED,34.7,17.36,17.56,0.989,0,0.76
n4_s5,4,5,SUCCEEDED,24.1,11.53,11.79,0.978,0,5.652
n4_s6,4,6,SUCCEEDED,27.7,11.52,11.51,1.001,0,0.568
n4_s7,4,7,SUCCEEDED,18.1,7.86,8.01,0.981,0,0.523
n4_s8,4,8,SUCCEEDED,35.3,12.99,13.12,0.99,0,2.795
n6_s1,6,1,SUCCEEDED,29.3,15.34,15.56,0.986,0,0.806
n6_s2,6,2,SUCCEEDED,48.7,22.94,22.44,1.023,0,0.569
n6_s3,6,3,SUCCEEDED,26.3,11.62,11.09,1.048,0,0.375
n6_s4,6,4,SUCCEEDED,35.6,17.6,17.56,1.003,0,0.529
n6_s5,6,5,SUCCEEDED,24.2,11.54,11.79,0.979,0,1.801
n6_s6,6,6,SUCCEEDED,27.7,11.52,11.51,1.001,0,0.566
n6_s7,6,7,SUCCEEDED,18.1,7.86,8.01,0.982,0,0.592
n6_s8,6,8,SUCCEEDED,35.3,12.99,13.12,0.99,0,1.648
n8_s1,8,1,SUCCEEDED,34.6,16.32,15.56,1.049,0,0.522
n8_s2,8,2,SUCCEEDED,50.5,23.32,22.44,1.039,0,0.563
n8_s3,8,3,SUCCEEDED,26.3,11.6,11.09,1.046,0,0.369
n8_s4,8,4,SUCCEEDED,35.5,17.57,17.56,1.001,0,0.536
n8_s5,8,5,SUCCEEDED,23.8,11.86,11.79,1.006,0,0.372
n8_s6,8,6,SUCCEEDED,28.1,11.97,11.51,1.04,0,0.497
n8_s7,8,7,SUCCEEDED,18.1,7.87,8.01,0.982,0,0.549
n8_s8,8,8,SUCCEEDED,35.3,12.99,13.12,0.99,0,1.617
