run,n_obstacles,obstacle_speed,seed,status,nav_time_s,path_len_m,euclid_m,ratio,hits,min_clearance_m
n6_s1_v0.200,6,0.2,1,SUCCEEDED,49.6,21.76,15.56,1.399,1,-0.074
n6_s1_v0.400,6,0.4,1,SUCCEEDED,37.1,18.04,15.56,1.159,3,-0.3
n6_s1_v0.800,6,0.8,1,SUCCEEDED,52.5,21.72,15.56,1.396,4,-0.3
n6_s1_v1.200,6,1.2,1,SUCCEEDED,42.7,19.26,15.56,1.238,4,-0.3
n6_s1_v1.600,6,1.6,1,SUCCEEDED,41.6,17.58,15.56,1.13,2,-0.3
n6_s1_v2.000,6,2.0,1,SUCCEEDED,116.2,38.13,15.56,2.451,20,-0.3
n6_s2_v0.200,6,0.2,2,SUCCEEDED,41.9,22.53,22.44,1.004,0,1.077
n6_s2_v0.400,6,0.4,2,SUCCEEDED,73.3,32.44,22.44,1.446,11,-0.3
n6_s2_v0.800,6,0.8,2,SUCCEEDED,78.1,35.04,22.44,1.562,1,-0.3
n6_s2_v1.200,6,1.2,2,SUCCEEDED,69.0,29.62,22.44,1.32,6,-0.3
n6_s2_v1.600,6,1.6,2,SUCCEEDED,171.0,77.56,22.44,3.457,7,-0.3
n6_s2_v2.000,6,2.0,2,SUCCEEDED,119.6,52.92,22.44,2.358,16,-0.3
n6_s3_v0.200,6,0.2,3,SUCCEEDED,24.3,11.11,11.09,1.002,0,0.596
n6_s3_v0.400,6,0.4,3,SUCCEEDED,43.1,14.66,11.09,1.322,1,-0.3
n6_s3_v0.800,6,0.8,3,SUCCEEDED,32.6,14.02,11.09,1.265,0,0.331
n6_s3_v1.200,6,1.2,3,SUCCEEDED,56.0,22.07,11.09,1.99,9,-0.3
n6_s3_v1.600,6,1.6,3,SUCCEEDED,76.7,25.71,11.09,2.318,14,-0.3
n6_s3_v2.000,6,2.0,3,SUCCEEDED,79.0,22.58,11.09,2.036,8,-0.3
n6_s4_v0.200,6,0.2,4,SUCCEEDED,35.1,17.72,17.56,1.01,0,0.37
n6_s4_v0.400,6,0.4,4,SUCCEEDED,43.9,18.39,17.56,1.047,3,-0.3
n6_s4_v0.800,6,0.8,4,SUCCEEDED,72.3,32.73,17.56,1.864,2,-0.3
n6_s4_v1.200,6,1.2,4,SUCCEEDED,74.6,32.66,17.56,1.86,4,-0.3
n6_s4_v1.600,6,1.6,4,SUCCEEDED,89.5,27.4,17.56,1.561,7,-0.3
n6_s4_v2.000,6,2.0,4,SUCCEEDED,68.5,27.89,17.56,1.589,10,-0.3
n6_s5_v0.200,6,0.2,5,SUCCEEDED,23.9,11.52,11.79,0.977,0,0.369
n6_s5_v0.400,6,0.4,5,SUCCEEDED,24.1,11.55,11.79,0.98,0,0.357
n6_s5_v0.800,6,0.8,5,SUCCEEDED,49.5,19.01,11.79,1.613,2,-0.3
n6_s5_v1.200,6,1.2,5,SUCCEEDED,54.6,22.62,11.79,1.919,6,-0.3
n6_s5_v1.600,6,1.6,5,SUCCEEDED,41.5,17.96,11.79,1.524,2,-0.3
n6_s5_v2.000,6,2.0,5,SUCCEEDED,55.0,14.55,11.79,1.234,5,-0.3
n6_s6_v0.200,6,0.2,6,SUCCEEDED,31.3,15.45,11.51,1.342,0,0.126
n6_s6_v0.400,6,0.4,6,SUCCEEDED,28.6,11.79,11.51,1.024,0,1.461
n6_s6_v0.800,6,0.8,6,SUCCEEDED,38.3,13.6,11.51,1.182,0,0.159
n6_s6_v1.200,6,1.2,6,SUCCEEDED,33.4,13.54,11.51,1.176,1,-0.3
n6_s6_v1.600,6,1.6,6,SUCCEEDED,47.8,21.04,11.51,1.828,3,-0.3
n6_s6_v2.000,6,2.0,6,SUCCEEDED,35.9,13.87,11.51,1.205,5,-0.3
n6_s7_v0.200,6,0.2,7,SUCCEEDED,18.0,7.82,8.01,0.977,0,0.517
n6_s7_v0.400,6,0.4,7,SUCCEEDED,17.8,8.02,8.01,1.001,0,0.011
n6_s7_v0.800,6,0.8,7,SUCCEEDED,21.4,8.81,8.01,1.101,0,1.645
n6_s7_v1.200,6,1.2,7,SUCCEEDED,24.5,7.69,8.01,0.96,3,-0.3
n6_s7_v1.600,6,1.6,7,SUCCEEDED,56.3,22.32,8.01,2.787,8,-0.3
n6_s7_v2.000,6,2.0,7,SUCCEEDED,49.4,18.67,8.01,2.332,6,-0.3
n6_s8_v0.200,6,0.2,8,SUCCEEDED,35.3,15.07,13.12,1.149,0,0.985
n6_s8_v0.400,6,0.4,8,SUCCEEDED,40.3,15.78,13.12,1.203,1,-0.3
n6_s8_v0.800,6,0.8,8,SUCCEEDED,35.4,13.78,13.12,1.051,0,2.68
n6_s8_v1.200,6,1.2,8,SUCCEEDED,44.6,17.77,13.12,1.354,2,-0.3
n6_s8_v1.600,6,1.6,8,SUCCEEDED,40.6,14.95,13.12,1.14,7,-0.3
n6_s8_v2.000,6,2.0,8,SUCCEEDED,41.9,16.54,13.12,1.261,3,-0.3
